	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
80	acquitter						3.0	1.0	20.0	13.0	3.0	6.0	20.0	1.0	5.0	5.0		2.0	7.0	403.0							2.0	13.0	2.0	4.0		3.0			1.0	6.0	3.0	25.0	13.0	11.0	11.0	53.0	6.0	109.0	61.0	497.0							1309.0
81	acquérir		2.0		2.0	5.0	11.0	3.0	4.0	4.0	1.0	4.0	6.0		1.0	1.0		2.0	4.0	892.0								1.0	9.0	17.0						1.0	12.0	7.0	4.0	8.0	49.0	158.0	84.0	221.0	235.0	819.0		5.0		3.0		18.0	2593.0
82	acter						1.0							6.0						6.0									3.0	1.0								3.0		1.0		76.0		2.0		11.0	17.0			2.0			129.0
83	actionner						2.0	3.0	4.0	1.0	4.0	2.0	9.0		1.0	1.0		3.0	7.0	167.0							2.0	63.0	37.0	11.0		2.0				1.0	1.0	24.0	11.0	12.0	12.0	93.0	4.0	18.0	8.0	103.0							606.0
84	activer						2.0	6.0	27.0	4.0	5.0	18.0	65.0	1.0	5.0	7.0	1.0	6.0	21.0	1338.0							36.0	819.0	183.0	32.0	1.0	6.0	1.0	1.0	4.0	12.0	9.0	148.0	36.0	52.0	144.0	683.0	73.0	320.0	151.0	1122.0				1.0		44.0	5384.0
85	actualiser							1.0	2.0						1.0	1.0				56.0							1.0	9.0	20.0	1.0							1.0	7.0	1.0	2.0	6.0	8.0	6.0	9.0	5.0	20.0							157.0
86	acérer																			2.0										1.0												3.0	30.0	13.0	16.0	14.0							79.0
87	adapter					2.0	4.0	11.0	30.0	19.0	19.0	25.0	78.0		1.0	4.0		4.0	26.0	2114.0							5.0	21.0	44.0	35.0		9.0	3.0	4.0	9.0	18.0	28.0	141.0	45.0	98.0	169.0	514.0	161.0	343.0	250.0	1223.0				1.0			5458.0
88	additionner											1.0	1.0		1.0	3.0	2.0	1.0	5.0	107.0							1.0	10.0	18.0	21.0					3.0			15.0	15.0	27.0	35.0	93.0	10.0	5.0	16.0	40.0							430.0
89	adhérer						6.0	1.0	2.0			3.0	7.0	1.0	14.0	6.0		7.0	14.0	282.0							2.0	15.0	7.0	25.0				1.0		3.0	8.0	101.0	36.0	30.0	51.0	127.0		1.0		117.0							867.0
