	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
2981	féminiser																			2.0									1.0										1.0		1.0	1.0		3.0	3.0	4.0							16.0
2982	férir																			11.0																																	11.0
2983	fétichiser																		1.0																			1.0		2.0	2.0	6.0				2.0							14.0
2984	fêler						1.0		1.0											17.0																1.0			1.0	1.0	3.0	3.0	12.0	63.0	17.0	171.0							291.0
2985	fêter		1.0			5.0	14.0	75.0	51.0	18.0	18.0	11.0	245.0	48.0	38.0	33.0	16.0	47.0	214.0	5673.0							358.0	51.0	26.0	33.0	2.0	10.0	4.0	4.0	2.0	33.0	230.0	203.0	175.0	140.0	247.0	1857.0	2.0	30.0	20.0	501.0				11.0			10446.0
2986	gaffer									1.0									1.0	63.0								1.0	23.0					1.0		1.0		5.0	2.0	4.0	3.0	213.0				172.0							490.0
2987	gager						1.0	2.0	3.0		2.0		1.0						3.0	57.0							16.0	10.0	2.0	2.0		8.0						115.0		11.0		50.0	1.0	4.0	2.0	42.0				1.0			333.0
2988	gagner		8.0		1.0	32.0	158.0	332.0	786.0	644.0	700.0	196.0	1604.0	43.0	511.0	134.0	135.0	128.0	795.0	34398.0						1.0	142.0	503.0	614.0	682.0	36.0	288.0	135.0	174.0	63.0	579.0	434.0	4393.0	1721.0	2933.0	2084.0	11483.0	162.0	626.0	313.0	27261.0		1.0	1.0	4.0	1.0	10.0	95249.0
2989	gainer																			13.0										3.0												3.0	2.0	11.0	2.0	5.0							39.0
2990	galber						1.0													1.0								1.0														1.0	1.0	2.0	1.0								8.0
2991	galer																			3.0																																	3.0
2992	galipoter																																									2.0											2.0
2993	galonner																																												1.0	1.0							2.0
2994	galoper	1.0				3.0	6.0	5.0		3.0	1.0	4.0	10.0		3.0	3.0	1.0	10.0	24.0	172.0							2.0	11.0	24.0	31.0		1.0			1.0	3.0	6.0	23.0	7.0	13.0	26.0	118.0				38.0							550.0
2995	galvaniser						1.0						3.0						2.0	39.0							1.0	3.0		8.0						1.0	1.0		1.0		5.0	16.0	1.0	11.0	13.0	55.0					2.0		163.0
2996	galvauder																			4.0								1.0	2.0									2.0				7.0		6.0	3.0	28.0							53.0
2997	galéjer																			1.0																				1.0													2.0
2998	galérer								1.0			1.0		1.0	5.0		1.0	2.0	17.0	98.0														1.0			1.0	57.0	8.0	26.0	20.0	82.0			1.0	118.0							440.0
2999	gambader								1.0	2.0	1.0	2.0	1.0		1.0	3.0	3.0	4.0	14.0	99.0								9.0		19.0		1.0			1.0	1.0		7.0	4.0	8.0	24.0	29.0				2.0							236.0
3000	gamberger												1.0		1.0				3.0	90.0																		13.0	2.0	22.0	3.0	22.0				24.0							181.0
3001	gambiller																			11.0									1.0									2.0		3.0		3.0											20.0
3002	gaminer																			1.0									5.0									1.0		1.0		26.0										2.0	36.0
3003	gangrener												3.0							12.0									1.0												4.0	22.0		12.0	3.0	20.0							77.0
3004	ganser						1.0																																														1.0
3005	ganter						1.0													4.0																				1.0			1.0	6.0	2.0	6.0							21.0
3006	garantir						3.0	2.0	24.0	7.0	4.0	16.0	114.0	1.0	9.0	16.0	1.0	4.0	49.0	1984.0							3.0	34.0	7.0	77.0		7.0	1.0		3.0	47.0	63.0	2139.0	97.0	37.0	83.0	688.0	37.0	542.0	100.0	750.0		8.0		8.0		19.0	6984.0
3007	garder	1.0	10.0		2.0	11.0	130.0	241.0	1528.0	334.0	330.0	254.0	1088.0	116.0	868.0	519.0	282.0	291.0	1918.0	48721.0					1.0		876.0	11002.0	6525.0	955.0	10.0	476.0	66.0	115.0	59.0	349.0	628.0	6839.0	1924.0	3374.0	2181.0	11219.0	309.0	1209.0	584.0	9315.0		4.0		30.0	3.0	12.0	114709.0
3008	gardienner				2.0																								1.0													11.0				2.0						18.0	34.0
3009	garer		7.0				13.0	2.0	22.0	2.0	3.0	5.0	10.0	1.0	29.0	9.0	9.0	14.0	53.0	2192.0							16.0	482.0	777.0	26.0		7.0	1.0	2.0	1.0	10.0	7.0	277.0	85.0	119.0	90.0	485.0	121.0	1543.0	231.0	1753.0				4.0			8408.0
3010	gargariser								1.0						3.0		1.0		3.0	48.0								2.0	7.0	2.0		1.0						6.0	2.0	6.0	8.0	18.0		2.0	1.0	5.0							116.0
3011	gargouiller												3.0		2.0		1.0		15.0	27.0									3.0	1.0								1.0	1.0	1.0	3.0	94.0				5.0							157.0
3012	garnir								1.0						1.0			2.0	1.0	54.0							1.0	4.0	1.0								1.0	4.0	2.0	3.0	5.0	8.0	14.0	34.0	15.0	60.0		1.0				1.0	213.0
3013	garrotter											1.0							2.0	4.0								2.0	1.0			1.0						1.0			1.0	6.0		4.0	10.0	11.0							44.0
3014	gaspiller						2.0	7.0	28.0	3.0	4.0	3.0	17.0		18.0	5.0	5.0	5.0	30.0	1389.0							51.0	210.0	279.0	28.0	2.0	30.0	4.0	8.0	5.0	15.0	37.0	81.0	195.0	243.0	107.0	325.0	50.0	97.0	58.0	629.0		1.0					3971.0
3015	gauchir																			2.0																						1.0	2.0	1.0	2.0	2.0							10.0
3016	gauchiser																																											1.0									1.0
3017	gaudir																																													2.0							2.0
3018	gaufrer																			3.0								3.0				1.0										7.0		1.0	1.0	7.0				4.0			27.0
3019	gauler																			86.0		1.0										2.0								1.0	1.0	8.0	5.0	41.0	11.0	44.0							200.0
3020	gausser												1.0		2.0	1.0	1.0			7.0								5.0	2.0	3.0				1.0		1.0		3.0	5.0		6.0	8.0				5.0							51.0
3021	gaver					2.0		2.0	7.0		1.0	1.0	6.0		13.0	4.0	3.0	9.0	23.0	264.0		1.0					2.0	16.0	32.0	25.0		5.0			2.0	4.0	1.0	32.0	22.0	51.0	53.0	270.0	8.0	61.0	65.0	167.0							1152.0
3022	gazer								1.0				6.0		1.0		1.0	1.0	6.0	133.0							1.0	26.0	11.0	6.0		1.0		3.0		1.0		12.0	2.0	1.0	22.0	784.0	7.0	23.0	60.0	112.0							1221.0
3023	gazonner																																								1.0					1.0							2.0
3024	gazouiller								1.0				1.0		1.0			5.0	6.0	35.0								6.0	6.0	6.0						1.0		4.0		4.0	38.0	72.0				7.0				2.0			195.0
3025	gazéifier																			2.0										1.0													1.0	3.0	1.0	4.0							12.0
3026	geindre										2.0						5.0	3.0	11.0	36.0								2.0	7.0	17.0								13.0	5.0	19.0	12.0	51.0				20.0							203.0
3027	geler					1.0	9.0	2.0	16.0	6.0	8.0	12.0	83.0	1.0	24.0	1.0	5.0	14.0	95.0	985.0							2.0	34.0	44.0	61.0		4.0		4.0	3.0	22.0	9.0	387.0	13.0	67.0	117.0	1173.0	248.0	758.0	305.0	1212.0							5725.0
3028	gemmer				2.0		6.0																						1.0													6.0											15.0
3029	gendarmer																			1.0																						8.0								1.0			10.0
3030	gerber					1.0	6.0				1.0	2.0	1.0		6.0	2.0	1.0	3.0	14.0	875.0								4.0	5.0	46.0		2.0						44.0	2.0	31.0	12.0	45.0				155.0							1258.0
3031	gercer												1.0							5.0																		1.0			3.0	2.0	62.0	2.0	4.0	8.0							88.0
3032	germaniser																			1.0																									1.0								2.0
3033	germer					1.0	6.0					7.0	7.0					2.0	4.0	114.0									1.0							3.0		1.0			22.0	41.0	2.0	2.0		52.0							265.0
3034	gesticuler										1.0				3.0	3.0	2.0	1.0	7.0	67.0								3.0	7.0	11.0		1.0						2.0	1.0	4.0	10.0	27.0				5.0							155.0
3035	ghettoïser																			2.0																				1.0			1.0			1.0							5.0
3036	gicler						5.0		1.0			4.0	15.0				1.0		32.0	208.0								7.0	22.0	7.0				1.0	1.0	2.0		18.0	2.0	17.0	17.0	167.0	1.0	4.0		131.0				1.0			664.0
3037	gifler						6.0		24.0		3.0		18.0		6.0	2.0	3.0	6.0	25.0	701.0								45.0	86.0	10.0		23.0	3.0	4.0		18.0	1.0	117.0	19.0	42.0	11.0	111.0	2.0	207.0	3.0	600.0							2096.0
3038	gigoter								1.0	2.0	1.0		1.0		1.0	3.0	5.0	1.0	22.0	233.0								9.0	38.0	12.0					1.0			4.0	7.0	19.0	21.0	82.0				11.0							474.0
3039	girouetter																												3.0																								3.0
3040	givrer												1.0						1.0	4.0								3.0										1.0			1.0	2.0	9.0	68.0	24.0	137.0							251.0
3041	glacer					4.0	6.0		2.0	1.0		1.0	8.0		1.0			2.0	13.0	104.0							28.0		8.0	10.0		1.0	1.0		3.0	7.0	2.0	4.0	7.0	15.0	14.0	292.0	121.0	509.0	130.0	580.0				7.0			1881.0
3042	glairer																			3.0																						1.0											4.0
3043	glaiser																																									7.0											7.0
3044	glander						1.0		1.0				2.0		19.0	8.0	5.0	2.0	19.0	468.0								4.0	3.0	3.0				1.0		1.0	2.0	55.0	53.0	52.0	22.0	62.0				43.0							826.0
3045	glandouiller																		1.0	23.0									2.0	1.0								4.0	5.0	1.0		9.0				1.0							47.0
3046	glaner									1.0					1.0	1.0			4.0	108.0								2.0	2.0	4.0								5.0	1.0		3.0	20.0	9.0	6.0	11.0	35.0							213.0
3047	glapir						1.0										1.0	1.0	2.0	27.0								1.0		4.0								1.0	1.0		2.0	14.0				8.0							63.0
3048	glatir																																									1.0											1.0
3049	glavioter																			2.0									1.0									1.0				1.0				1.0							6.0
3050	glisser		9.0			12.0	70.0	10.0	83.0	20.0	12.0	22.0	91.0	6.0	49.0	16.0	24.0	44.0	210.0	3163.0						1.0	19.0	237.0	245.0	217.0		22.0	6.0	4.0	4.0	21.0	26.0	344.0	72.0	195.0	301.0	1529.0	20.0	190.0	53.0	2815.0		1.0	1.0			1.0	10165.0
3051	globaliser																												1.0											1.0				3.0	1.0	5.0							11.0
3052	glorifier				1.0			1.0	1.0			2.0	5.0		1.0			4.0	7.0	119.0							4.0	9.0	5.0	12.0						2.0	20.0	14.0	15.0	5.0	22.0	59.0	4.0	41.0	11.0	103.0							467.0
3053	gloser												1.0							6.0																	1.0									1.0							9.0
3054	glouglouter																1.0			5.0									1.0	1.0								1.0		1.0	3.0	9.0				3.0							25.0
3055	glousser												1.0		3.0	4.0	5.0	2.0	28.0	124.0								10.0	187.0	25.0			1.0			1.0		10.0	13.0	26.0	91.0	177.0				18.0							726.0
3056	gloutonner																																							1.0													1.0
3057	glycériner																																									2.0				2.0							4.0
3058	gober					1.0			2.0	1.0	3.0	9.0	29.0		9.0		5.0	3.0	16.0	449.0							1.0	6.0	20.0	7.0		4.0		4.0	8.0	24.0		42.0	21.0	54.0	46.0	123.0	5.0	4.0	9.0	387.0							1292.0
3059	goberger																	1.0		2.0								2.0											1.0	1.0	5.0	4.0											16.0
3060	gobeter																												11.0													1.0											12.0
3061	godailler																																									1.0											1.0
3062	goder		3.0				22.0													1.0		1.0							24.0									1.0		65.0		233.0											350.0
3063	godiller																											1.0														1.0											2.0
3064	goguenarder																																									1.0											1.0
3065	goinfrer							2.0		1.0	1.0		1.0		3.0		3.0		12.0	182.0							2.0	7.0	12.0	17.0								22.0	6.0	19.0	17.0	31.0	3.0	13.0	6.0	29.0							389.0
3066	gominer						1.0													3.0									1.0											1.0					48.0	26.0							80.0
3067	gommer						1.0		2.0											58.0								2.0	1.0	6.0		1.0				1.0				2.0		26.0	5.0	4.0	4.0	22.0				1.0			136.0
3068	gonder				1.0		1.0													1.0																																	3.0
3069	gondoler						1.0													13.0									2.0									2.0			3.0	8.0	1.0	3.0	1.0	4.0				1.0			39.0
3070	gonfler					1.0	6.0		6.0	2.0	5.0	5.0	32.0	1.0	6.0	2.0	3.0	16.0	49.0	892.0							4.0	73.0	79.0	28.0		2.0		2.0	5.0	12.0	3.0	55.0	36.0	158.0	147.0	705.0	53.0	225.0	203.0	913.0							3729.0
3071	gorger					1.0	1.0		1.0										1.0	10.0							1.0	1.0	3.0	3.0							1.0	2.0			5.0	141.0	25.0	34.0	21.0	36.0				11.0			298.0
3072	goudronner														1.0				1.0	20.0								3.0													1.0	2.0	2.0	3.0	2.0	15.0							50.0
3073	gouger					1.0																																			1.0	1.0											3.0
3074	gougnotter																			1.0																				1.0													2.0
3075	goupiller																		1.0	11.0																		3.0	1.0	1.0	3.0	40.0		4.0		42.0							106.0
3076	gourer														4.0		1.0	4.0	4.0	48.0								2.0	6.0									25.0	41.0	141.0	12.0	33.0		31.0	39.0	137.0							528.0
3077	gourmander																			2.0									2.0													2.0				1.0							7.0
3078	goutter															2.0		2.0	10.0	32.0								5.0	10.0	3.0								6.0	2.0	8.0	5.0	108.0	1.0			14.0				8.0			216.0
3079	gouverner					2.0	9.0	13.0	24.0	6.0	12.0	15.0	38.0	1.0	6.0	4.0	1.0	19.0	41.0	824.0							3.0	30.0	7.0	11.0		3.0	1.0		3.0	4.0	4.0	27.0	22.0	13.0	144.0	258.0	17.0	78.0	54.0	190.0							1884.0
3080	goûter	1.0	3.0				3.0	2.0	56.0	58.0	48.0	20.0	57.0	7.0	27.0	42.0	7.0	11.0	68.0	3885.0							62.0	874.0	1383.0	40.0		32.0	3.0	11.0	1.0	4.0	15.0	197.0	51.0	267.0	93.0	488.0	23.0	82.0	43.0	1731.0				5.0		2.0	9702.0
3081	gracier				763.0		34.0		7.0	1.0	1.0	1.0	8.0		2.0					117.0								7.0	381.0	2.0		1.0				3.0	1.0	13.0	6.0	1.0	2.0	29.0		17.0	23.0	178.0							1598.0
3082	graduer						1.0								1.0					12.0																								9.0	1.0	17.0							41.0
3083	graffiter																			3.0																							1.0			3.0							7.0
3084	grafigner																		1.0	4.0										1.0								1.0		1.0		2.0				1.0							11.0
3085	grailler																			42.0									2.0									5.0		2.0		38.0			1.0	5.0							95.0
3086	grainer																			1.0										2.0										2.0		10.0								1.0			16.0
3087	graisser								4.0		1.0	1.0	6.0		3.0	1.0	1.0		11.0	229.0								13.0	13.0	3.0		3.0				4.0		12.0	6.0	16.0	12.0	60.0	8.0	8.0	8.0	94.0				1.0			518.0
3088	grandir	1.0				17.0	22.0	6.0	33.0	25.0	148.0	111.0	328.0	10.0	62.0	21.0	34.0	53.0	222.0	4831.0						1.0	4.0	131.0	553.0	840.0		12.0	2.0	15.0	18.0	44.0	42.0	134.0	76.0	315.0	1053.0	2179.0	8.0	56.0	336.0	10665.0		66.0		118.0		368.0	22960.0
3089	graniter				2.0		10.0																																			6.0			1.0	1.0							20.0
3090	granuler						2.0																						2.0																								4.0
3091	graphiter																																									1.0											1.0
3092	grappiller								1.0										3.0	32.0								1.0									1.0	6.0	1.0	2.0		12.0	3.0		2.0	3.0							67.0
3093	grasseyer																																						2.0														2.0
3094	gratifier		1.0			1.0	3.0		2.0	1.0	1.0		10.0				1.0	1.0	7.0	41.0								1.0	2.0	19.0							1.0	2.0	5.0	2.0	2.0	24.0		11.0	14.0	37.0							189.0
3095	gratiner																			3.0																						3.0	12.0	6.0	6.0	20.0							50.0
3096	gratter						4.0	1.0	25.0	4.0	9.0	1.0	17.0	2.0	38.0	7.0	19.0	16.0	122.0	1400.0						1.0	3.0	101.0	160.0	101.0		4.0	1.0	1.0		7.0	5.0	162.0	60.0	156.0	145.0	978.0	1.0	37.0	13.0	237.0							3838.0
3097	grattouiller																			6.0																1.0		2.0		2.0		6.0				1.0							18.0
3098	graveler																												2.0																	1.0							3.0
3099	graver				15.0	2.0	5.0	8.0	22.0		1.0	2.0	25.0	1.0	10.0	2.0		10.0	15.0	479.0							7.0	35.0	19.0	27.0		4.0				4.0	6.0	41.0	4.0	13.0	13.0	140.0	144.0	265.0	219.0	1099.0						15.0	2652.0
3100	gravillonner																			4.0																																	4.0
3101	gravir					4.0		3.0	10.0	6.0	6.0	5.0	11.0	1.0	3.0		2.0	6.0	14.0	347.0							4.0	3.0	6.0	22.0	1.0	3.0				1.0	3.0	18.0	13.0	19.0	17.0	84.0	4.0	2.0	14.0	202.0		4.0					838.0
3102	graviter				1.0										2.0	1.0		3.0	6.0	18.0									4.0	15.0							3.0	5.0	2.0	1.0	34.0	54.0		7.0		55.0							211.0
3103	grecquer																																									24.0											24.0
3104	greffer						3.0	1.0	3.0	2.0			4.0	1.0	2.0				6.0	198.0								5.0	3.0	8.0		2.0				2.0	2.0	6.0	2.0	2.0	8.0	36.0	10.0	23.0	19.0	125.0						1.0	474.0
3105	grelotter												2.0	2.0	5.0	1.0	1.0	1.0	9.0	20.0									4.0	16.0								24.0	6.0	8.0	2.0	32.0				5.0							138.0
3106	greneler																												1.0																								1.0
3107	grener																																													1.0							1.0
3108	grenouiller																			2.0								1.0	3.0													15.0				4.0							25.0
3109	grever																		1.0	2.0									4.0												3.0	13.0		2.0		3.0				1.0			29.0
3110	gribouiller					1.0	1.0		1.0						7.0		1.0	1.0	10.0	69.0							1.0	6.0	6.0	6.0								14.0	4.0	10.0	5.0	17.0	5.0	9.0	3.0	60.0							237.0
3111	griffer					1.0	4.0		5.0			1.0	9.0		2.0	1.0		8.0	27.0	212.0								11.0	12.0	28.0		1.0				1.0		14.0	6.0	18.0	29.0	69.0	5.0	73.0	15.0	319.0				3.0			874.0
3112	griffonner		1.0				2.0	1.0		1.0			1.0		8.0	1.0	1.0		9.0	57.0								2.0	6.0	7.0		1.0	1.0					20.0	2.0	9.0	1.0	16.0	3.0	17.0	11.0	65.0							243.0
3113	grignoter						1.0	1.0	9.0		1.0	4.0	12.0	1.0	5.0		1.0	5.0	14.0	599.0							3.0	6.0	23.0	31.0	1.0	5.0	1.0		1.0		2.0	17.0	6.0	13.0	27.0	73.0	3.0	7.0	5.0	86.0						2.0	965.0
3114	grillager																			1.0								1.0														2.0	8.0	4.0	2.0	9.0							27.0
3115	griller				2.0		2.0	4.0	17.0	7.0	12.0	11.0	49.0	1.0	5.0	4.0	1.0	5.0	29.0	1688.0							7.0	38.0	48.0	35.0	1.0	11.0	3.0	4.0	3.0	30.0		65.0	26.0	59.0	69.0	261.0	56.0	329.0	374.0	2047.0		1.0		3.0			5307.0
3116	grimacer						1.0								1.0			1.0	6.0	61.0								5.0	2.0	16.0				1.0			1.0	3.0	6.0	13.0	8.0	35.0				24.0							184.0
3117	grimer						2.0		1.0											10.0		1.0						1.0		1.0														3.0	4.0	10.0							33.0
3118	grimper	1.0	1.0			6.0	43.0	10.0	31.0	15.0	12.0	17.0	46.0	5.0	67.0	12.0	13.0	27.0	122.0	2348.0							69.0	462.0	258.0	85.0		19.0		6.0	3.0	29.0	20.0	159.0	46.0	121.0	219.0	1194.0	4.0	16.0	10.0	766.0					1.0		6263.0
3119	grincer						2.0			2.0		1.0	2.0		2.0	1.0		13.0	36.0	152.0							1.0	6.0	17.0	23.0						2.0		15.0	9.0	15.0	94.0	371.0				27.0							791.0
3120	grincher																											1.0		1.0												1.0				1.0							4.0
3121	gripper												2.0						2.0	5.0									2.0												3.0	13.0	1.0	31.0	6.0	35.0							100.0
3122	grisailler																																									4.0											4.0
3123	griser							2.0			1.0		1.0		1.0				4.0	28.0									2.0	9.0						1.0	2.0	3.0		2.0	4.0	82.0	2.0	16.0	8.0	30.0						1.0	199.0
3124	grisoller																																									1.0											1.0
3125	grisonner											1.0							2.0	14.0										19.0								4.0	2.0	7.0	8.0	3.0				3.0							63.0
3126	griveler																			1.0																																	1.0
3127	grognasser																												9.0													10.0											19.0
3128	grogner						10.0			2.0		2.0	5.0		2.0	2.0	1.0	7.0	37.0	257.0								11.0	17.0	49.0						1.0	3.0	12.0	6.0	38.0	134.0	386.0		2.0		66.0							1050.0
3129	grognonner																			1.0																																	1.0
3130	grommeler						2.0											1.0	5.0	9.0									1.0	7.0									4.0		2.0	17.0				4.0							52.0
3131	gronder					1.0	18.0		17.0	1.0	2.0	1.0	36.0		7.0	2.0	3.0	10.0	65.0	459.0								51.0	64.0	27.0		5.0		4.0	1.0	17.0		36.0	23.0	44.0	51.0	419.0	2.0	68.0	14.0	130.0							1578.0
3132	grossir					4.0	1.0	1.0	9.0	2.0	8.0	11.0	26.0		12.0	2.0	1.0	6.0	41.0	874.0							2.0	7.0	14.0	24.0		2.0			2.0	5.0	2.0	73.0	13.0	53.0	127.0	463.0	1.0	6.0	26.0	734.0		9.0		6.0		25.0	2592.0
3133	grouiller											7.0	26.0				1.0	29.0	102.0	315.0							23.0	630.0	1845.0	71.0					2.0	9.0	3.0	22.0	59.0	51.0	159.0	775.0		1.0	1.0	5.0				8.0		1.0	4145.0
3134	grouper					1.0			1.0			2.0				2.0		1.0	2.0	42.0							17.0	23.0	8.0								2.0	5.0	5.0	5.0	14.0	203.0	32.0	8.0	459.0	72.0							904.0
3135	gruger											1.0			2.0				3.0	52.0										1.0								1.0	2.0	1.0	5.0	20.0		5.0	8.0	36.0							137.0
3136	grumeler																			1.0																						1.0											2.0
3137	gréer						1.0												1.0	11.0								8.0	2.0													4.0	4.0	3.0		15.0							49.0
3138	grésiller								1.0				1.0						7.0	24.0									2.0	2.0								4.0		1.0	12.0	47.0				4.0							105.0
3139	gréver																			1.0																																	1.0
3140	grêler																		1.0	10.0									3.0													27.0		1.0	1.0	6.0						3.0	52.0
3141	guerroyer							2.0										1.0		30.0								1.0		1.0							3.0				2.0	2.0				10.0							52.0
3142	guetter						1.0	7.0	26.0	1.0	2.0	3.0	6.0	2.0	43.0	7.0	10.0	24.0	68.0	249.0							2.0	56.0	42.0	55.0			1.0			2.0	5.0	75.0	11.0	17.0	124.0	380.0		5.0	2.0	35.0				1.0	1.0		1263.0
3143	gueuler				1.0		2.0		3.0		2.0	2.0	5.0	1.0	10.0		11.0	25.0	106.0	700.0		1.0					1.0	20.0	52.0	50.0		1.0		2.0	1.0	6.0		72.0	31.0	124.0	46.0	318.0		1.0		155.0							1749.0
3144	gueuser																												1.0													1.0											2.0
3145	guider					1.0	16.0	22.0	169.0	28.0	42.0	90.0	460.0	4.0	15.0	34.0	5.0	32.0	91.0	2569.0							3.0	175.0	141.0	73.0	2.0	18.0	4.0	3.0	6.0	27.0	11.0	153.0	63.0	94.0	166.0	1023.0	101.0	484.0	312.0	725.0		1.0		15.0		2.0	7180.0
3146	guigner									1.0	1.0				1.0		1.0	1.0	2.0	5.0																		1.0	1.0	3.0	2.0	4.0				8.0							31.0
3147	guillocher																												1.0													1.0		1.0									3.0
3148	guillotiner						1.0												2.0	20.0								5.0										2.0			1.0	8.0		5.0	5.0	29.0							78.0
3149	guincher												3.0				1.0			26.0																					1.0	3.0				2.0							36.0
3150	guinder																			5.0									1.0											1.0			3.0	10.0	4.0	18.0							42.0
3151	guitariser																																									2.0											2.0
3152	guéer																													3.0												4.0											7.0
3153	guérir					2.0	4.0	16.0	104.0	55.0	120.0	87.0	619.0	1.0	12.0	23.0	5.0	17.0	67.0	5697.0						1.0	6.0	106.0	100.0	42.0		16.0	7.0	13.0	16.0	105.0	22.0	151.0	58.0	129.0	310.0	1244.0	67.0	924.0	243.0	2336.0		46.0		59.0		242.0	13072.0
3154	gâcher						2.0	3.0	105.0	30.0	44.0	6.0	140.0	3.0	25.0	39.0	17.0	9.0	71.0	6566.0							180.0	336.0	786.0	43.0		63.0	18.0	43.0	11.0	251.0	22.0	310.0	295.0	908.0	211.0	1056.0	155.0	528.0	90.0	4943.0				2.0		1.0	17312.0
3155	gâter		1.0			2.0	3.0	1.0	10.0		1.0	3.0	14.0		7.0	4.0		8.0	33.0	506.0						1.0	6.0	24.0	21.0	6.0		8.0		1.0	2.0	6.0		52.0	93.0	154.0	86.0	373.0	59.0	322.0	147.0	445.0							2399.0
3156	gâtifier																																							1.0													1.0
3157	gélatiner																																									1.0											1.0
3158	gélatiniser																																											1.0									1.0
3159	gélifier																												1.0															4.0	12.0	7.0							24.0
3160	gémir					1.0	2.0	1.0	2.0	2.0	2.0	3.0	6.0		11.0	4.0	29.0	20.0	75.0	603.0							1.0	13.0	46.0	106.0		3.0					2.0	23.0	16.0	34.0	103.0	844.0		1.0	32.0	61.0		1.0		3.0		6.0	2056.0
3161	généraliser								1.0			1.0			2.0		1.0			68.0							2.0	4.0	7.0	1.0							1.0	3.0		7.0	3.0	12.0	7.0	29.0	3.0	27.0							179.0
3162	générer		1.0			1.0	3.0	2.0	2.0	1.0	2.0	4.0	10.0	1.0	2.0	2.0		7.0	33.0	523.0							1.0	1.0	13.0	50.0	1.0				1.0	10.0	7.0	9.0	7.0	14.0	131.0	394.0	40.0	102.0	57.0	200.0							1632.0
3163	géocoder																																					1.0															1.0
3164	gérer		3.0				2.0	27.0	73.0	20.0	29.0	16.0	80.0	15.0	137.0	60.0	72.0	28.0	333.0	13150.0							19.0	59.0	100.0	111.0	2.0	24.0	4.0	15.0	4.0	25.0	113.0	2037.0	437.0	879.0	320.0	2479.0	68.0	226.0	79.0	1567.0						1.0	22614.0
3165	gésir													1.0	16.0	1.0	8.0	38.0	200.0	3.0										89.0							2.0	15.0	3.0	11.0	87.0	266.0											740.0
3166	gêner						4.0	7.0	119.0	15.0	16.0	35.0	259.0	6.0	25.0	7.0	10.0	46.0	487.0	1335.0							2.0	413.0	271.0	206.0	1.0	49.0	3.0	9.0	20.0	442.0	7.0	212.0	370.0	302.0	325.0	5228.0	36.0	917.0	211.0	1493.0				2.0			12890.0
3167	gîter						1.0						2.0						2.0	5.0										1.0												8.0			1.0								20.0
3168	habiliter																			8.0								1.0	1.0	3.0								1.0	1.0	1.0		8.0	4.0	50.0	32.0	140.0							250.0
3169	habiller		1.0			1.0	14.0	6.0	83.0	15.0	16.0	12.0	46.0	2.0	92.0	21.0	57.0	39.0	211.0	5047.0							44.0	614.0	1585.0	72.0		25.0	1.0	9.0	3.0	23.0	17.0	829.0	212.0	590.0	345.0	1286.0	139.0	1775.0	608.0	2681.0		1.0		5.0		2.0	16529.0
3170	habiter		2.0				4.0	28.0	104.0	40.0	55.0	24.0	114.0	123.0	544.0	218.0	142.0	257.0	1621.0	2524.0						1.0	14.0	51.0	126.0	232.0	8.0	34.0	2.0	10.0	6.0	55.0	239.0	3688.0	1735.0	1903.0	1245.0	7425.0	40.0	228.0	46.0	776.0						7.0	23671.0
3171	habituer		2.0			3.0	8.0	2.0	167.0	161.0	225.0	27.0	83.0	1.0	37.0	3.0	2.0	4.0	15.0	2861.0							6.0	115.0	190.0	12.0		44.0		4.0		9.0	14.0	336.0	81.0	248.0	109.0	870.0	81.0	1224.0	646.0	2120.0		2.0		5.0	1.0		9718.0
3172	hacher						2.0	1.0	18.0	1.0	1.0	2.0	4.0		3.0		3.0	4.0	5.0	157.0							4.0	11.0	7.0	6.0		1.0				3.0		12.0	3.0	12.0	9.0	33.0	5.0	32.0	27.0	81.0				3.0			450.0
3173	hachurer																													1.0														1.0	1.0	3.0							6.0
3174	halener																																					1.0				8.0											9.0
3175	haler					1.0	10.0												1.0	5.0								2.0	5.0												1.0	1.0	2.0	2.0	1.0	6.0							37.0
3176	haleter						4.0								2.0		5.0	1.0	14.0	74.0								3.0	73.0	102.0							2.0	6.0	9.0	11.0	38.0	213.0		1.0		8.0							566.0
3177	halluciner								2.0	3.0		1.0	2.0		41.0	5.0	15.0	3.0	39.0	344.0								2.0	2.0	39.0		3.0		4.0	3.0	4.0	3.0	733.0	31.0	99.0	19.0	151.0		3.0	3.0	156.0							1710.0
3178	hameçonner																			7.0									1.0															2.0	1.0	3.0							14.0
3179	hancher																																									4.0								1.0			5.0
3180	handicaper								1.0				3.0						4.0	45.0									1.0	4.0				1.0	1.0	1.0	1.0	2.0		10.0	5.0	42.0	54.0	255.0	82.0	502.0							1014.0
