	lemme	case	nb	graphie
49	abandonner	ii3P	2	abandonnaient-abandonné
50	abandonner	ii3S	2	abandonnait-abandonné
53	abandonner	pI2P	2	abandonner-abandonnez
63	abandonner	pi2P	2	abandonner-abandonnez
112	abattre	pi2P	2	abattez-abattre
254	aborder	ii3P	2	abordaient-abordé
332	aboyer	pi2P	2	aboyer-aboyez
499	absorber	ii3P	2	absorbaient-absorbé
531	absoudre	pi2P	2	absolvez-absoudre
594	abuser	ii3P	2	abusaient-abusé
595	abuser	ii3S	2	abusait-abusé
608	abuser	pi2P	2	abuser-abusez
664	accabler	ii3P	2	accablaient-accablé
690	accaparer	ii3S	2	accaparait-accaparé
720	accentuer	pi2P	2	accentuer-accentuez
742	accepter	ii3P	3	acceptaient-accepté-acceptées
743	accepter	ii3S	2	acceptait-accepté
747	accepter	pI2P	2	accepter-acceptez
757	accepter	pi2P	2	accepter-acceptez
923	accomplir	ii3S	2	accomplir-accomplissait
965	accorder	ii3S	2	accordait-accordé
976	accorder	pi1P	2	accordes-accordons
981	accorder	pi3S	2	accorde-accordé
1085	accoupler	pi2P	2	accoupler-accouplez
1163	accrocher	ii3P	2	accrochaient-accrochés
1167	accrocher	pI2P	2	accrocher-accrochez
1177	accrocher	pi2P	2	accrocher-accrochez
1350	accuser	ii3P	2	accusaient-accusé
1355	accuser	pI2P	2	accuser-accusez
1364	accuser	pi1S	2	accuse-accusé
1365	accuser	pi2P	2	accuser-accusez
1520	acheter	ii3P	2	achetaient-acheté
1521	acheter	ii3S	5	achetait-acheter-acheté-achetées-achetés
1525	acheter	pI2P	2	acheter-achetez
1535	acheter	pi2P	2	acheter-achetez
1573	achever	pi2P	2	achever-achevez
1592	acoquiner	ii3S	2	acoquinait-acoquiné
1797	adapter	pI2P	2	adapter-adaptez
1806	adapter	pi2P	2	adapter-adaptez
1923	admettre	pi2P	2	admettez-admettre
2019	adonner	ii3P	2	adonnaient-adonné
2020	adonner	ii3S	2	adonnait-adonné
2049	adopter	ii3P	2	adoptaient-adopté
2085	adorer	ii3P	2	adoraient-adoré
2100	adorer	pi2P	2	adorer-adorez
2198	adresser	pi2P	2	adresser-adressez
2219	aduler	pi2P	2	aduler-adulez
2383	affecter	ii3P	2	affectaient-affecté
2395	affecter	pi2P	2	affecter-affectez
2512	affirmer	ii3P	2	affirmaient-affirmé
2516	affirmer	pI2P	2	affirmer-affirmez
2525	affirmer	pi2P	2	affirmer-affirmez
2728	agacer	ii3S	2	agacé-agaçait
2737	agacer	pi2P	2	agacer-agacez
2783	agenouiller	pi2P	2	agenouilles-agenouillez
2905	agiter	pi2P	2	agiter-agitez
3007	agresser	ii3P	2	agressaient-agressé
3008	agresser	ii3S	3	agressait-agresser-agressé
3017	agresser	pi2P	2	agresser-agressez
3133	aider	ii3P	3	aidaient-aidé-aidés
3134	aider	ii3S	4	aidait-aidé-aidée-aidés
3145	aider	pi1P	2	aides-aidons
3155	aider	ps1P	2	aides-aidions
3196	aiguillonner	ii3S	2	aiguillonnait-aiguillonné
3272	aimer	ii3P	3	aimaient-aimé-aimée
3273	aimer	ii3S	3	aimait-aimé-aimée
3274	aimer	inf	2	aimer-aimes
3282	aimer	pc2P	2	aimerais-aimeriez
3288	aimer	pi2P	2	aimes-aimez
3347	ajouter	ii3P	3	ajoutaient-ajouté-ajoutés
3348	ajouter	ii3S	2	ajoutait-ajouté
3426	alarmer	pi2P	2	alarmer-alarmez
3469	alerter	pi2P	2	alerter-alertez
3488	aligner	ii3P	2	alignaient-alignée
3499	aligner	pi2P	2	aligner-alignez
3518	alimenter	ii3P	2	alimentaient-alimentés
3599	aller	ii3P	4	allaient-allé-allée-allés
3600	aller	ii3S	4	allait-allé-allée-allés
3601	aller	inf	5	aller-allez-allons-vais-vas
3608	aller	pI2S	2	va-vas
3719	allumer	ii3P	2	allumaient-allumé
3720	allumer	ii3S	2	allumait-allumé
3732	allumer	pi2P	2	allumer-allumez
3840	alterner	pi2P	2	alterner-alternez
3852	altérer	ii3P	2	altéraient-altéré
4033	amener	ii3P	2	amenaient-amené
4034	amener	ii3S	3	amenait-amené-amenés
4046	amener	pi1P	2	amenons-amènes
4320	amuser	ii3S	2	amusait-amusés
4360	améliorer	ii3P	2	amélioraient-amélioré
4361	améliorer	ii3S	2	améliorait-amélioré
4374	améliorer	pi2P	2	améliorer-améliorez
4611	annihiler	pi2P	2	annihiler-annihilez
4634	annoncer	ii3P	2	annoncé-annonçaient
4635	annoncer	ii3S	2	annoncé-annonçait
4648	annoncer	pi2P	2	annoncer-annoncez
4688	annuler	ii3P	2	annulaient-annulé
4689	annuler	ii3S	3	annulait-annuler-annulée
4848	apaiser	pi2P	2	apaiser-apaisez
4926	apitoyer	pi2P	2	apitoyer-apitoyez
5148	appeler	ii3P	4	appelaient-appelé-appelée-appelés
5149	appeler	ii3S	3	appelait-appelé-appelée
5161	appeler	pi1P	3	appellent-appelles-appelons
5163	appeler	pi2P	2	appelez-appelles
5243	appliquer	ii3P	2	appliquaient-appliqué
5256	appliquer	pi2P	2	appliquer-appliquez
5290	apporter	ii3P	4	apportaient-apporté-apportée-apportés
5291	apporter	ii3S	2	apportait-apporté
5295	apporter	pI2S	2	apporte-apporté
5302	apporter	pi1P	2	apportes-apportons
5359	apprendre	pI2P	2	apprendre-apprenez
5369	apprendre	pi2P	2	apprendre-apprenez
5421	approcher	ii3P	2	approchaient-approché
5422	approcher	ii3S	2	approchait-approché
5489	approprier	pi2P	2	approprier-appropriez
5572	apprécier	ii3P	2	appréciaient-apprécié
5587	apprécier	pi2P	2	apprécier-appréciez
5673	appuyer	ii3P	2	appuyaient-appuyé
5686	appuyer	pi2P	2	appuyer-appuyez
5703	appâter	ii3P	2	appâtaient-appâtés
5893	armer	pi2P	2	armer-armez
5928	arnaquer	pi2P	2	arnaquer-arnaquez
6001	arracher	ii3P	2	arrachaient-arraché
6046	arranger	ii3S	2	arrangeait-arrangé
6105	arriver	ii3P	3	arrivaient-arrivé-arrivés
6106	arriver	ii3S	3	arrivait-arrivé-arrivés
6111	arriver	pI2S	2	arrive-arrivé
6119	arriver	pi1S	2	arrive-arrivé
6225	arrêter	ii3P	2	arrêtaient-arrêté
6226	arrêter	ii3S	4	arrêtait-arrêté-arrêtées-arrêtés
6294	asperger	ii3S	2	aspergeait-aspergés
6297	asperger	pI2P	2	asperger-aspergez
6323	asphyxier	ii3S	2	asphyxiait-asphyxié
6350	aspirer	ii3S	3	aspirait-aspirer-aspiré
6452	assassiner	ii3P	2	assassinaient-assassiné
6457	assassiner	pI2S	2	assassine-assassiné
6521	asseoir	fi1P	2	assiérons-assoirons
6522	asseoir	fi1S	2	assiérai-assoirai
6523	asseoir	fi2P	2	assiérez-assoirez
6524	asseoir	fi2S	2	assiéras-assoiras
6525	asseoir	fi3P	2	assiéront-assoiront
6526	asseoir	fi3S	2	assiéra-assoira
6528	asseoir	ii1S	2	asseyais-assoyais
6529	asseoir	ii2P	2	asseyiez-assoyiez
6530	asseoir	ii2S	2	asseyais-assoyais
6531	asseoir	ii3P	2	asseyaient-assoyaient
6532	asseoir	ii3S	2	asseyait-assoyait
6537	asseoir	pI1P	2	asseyons-assoyons
6538	asseoir	pI2P	2	asseyez-assoyez
6539	asseoir	pI2S	2	assieds-assois
6540	asseoir	pc1P	2	assiérions-assoirions
6541	asseoir	pc1S	2	assiérais-assoirais
6542	asseoir	pc2P	2	assiériez-assoiriez
6543	asseoir	pc2S	2	assiérais-assoirais
6544	asseoir	pc3P	2	assiéraient-assoiraient
6545	asseoir	pc3S	2	assiérait-assoirait
6547	asseoir	pi1S	2	assieds-assois
6548	asseoir	pi2P	2	asseyez-assoyez
6549	asseoir	pi2S	2	assieds-assois
6550	asseoir	pi3P	2	asseyent-assoient
6551	asseoir	pi3S	2	assied-assoit
6556	asseoir	ps1S	2	asseye-assoie
6557	asseoir	ps2S	2	asseyes-assoies
6558	asseoir	ps3S	2	asseye-assoie
6604	assigner	ii3P	2	assignaient-assigné
6669	assister	ii3S	2	assistait-assisté
6737	associer	pi2P	2	associer-associez
6792	assommer	ii3P	2	assommaient-assommé
6793	assommer	ii3S	2	assommait-assommé
6805	assommer	pi2P	2	assommer-assommez
6974	assurer	ii3P	2	assuraient-assurés
6978	assurer	pI2P	2	assurer-assurez
6987	assurer	pi2P	2	assurer-assurez
7150	attacher	ii3P	4	attachaient-attaché-attachée-attachés
7151	attacher	ii3S	2	attachait-attaché
7189	attaquer	ii3P	3	attaquaient-attaqué-attaqués
7190	attaquer	ii3S	2	attaquait-attaqué
7269	atteindre	pi2P	2	atteignez-atteindre
7291	atteler	ii3S	2	attelait-attelé
7324	attendre	inf	3	attend-attendre-attends
7501	attirer	ii3P	3	attiraient-attiré-attirés
7502	attirer	ii3S	2	attirait-attiré
7516	attirer	pi2P	2	attirer-attirez
7575	attraper	ii3P	3	attrapaient-attrapé-attrapés
7576	attraper	ii3S	3	attrapait-attraper-attrapé
7579	attraper	pI2P	2	attraper-attrapez
7589	attraper	pi2P	2	attraper-attrapez
7625	attribuer	pi2P	2	attribuer-attribuez
7753	augmenter	pi2P	2	augmenter-augmentez
7926	autoriser	ii3S	2	autorisait-autorisé
7975	avaler	ii3P	2	avalaient-avalé
7976	avaler	ii3S	2	avalait-avalé
8023	avancer	ii3P	2	avancé-avançaient
8024	avancer	ii3S	2	avancé-avançait
8099	aventurer	pi2P	2	aventurer-aventurez
8156	aveugler	pI2P	2	aveugler-aveuglez
8258	avoir	ii2P	3	avais-aviez-avions
8264	avoir	is1S	3	as-eusse-eussé
8269	avoir	pI1P	2	avons-ayons
8270	avoir	pI2P	2	avez-ayez
8278	avoir	pi1P	2	as-avons
8279	avoir	pi1S	2	ai-aise
8280	avoir	pi2P	2	as-avez
8283	avoir	pi3S	3	a-on-s
8287	avoir	ppMS	2	a-eu
8342	avouer	ii3P	2	avouaient-avoué
8343	avouer	ii3S	2	avouait-avoué
8346	avouer	pI2P	2	avouer-avouez
8355	avouer	pi2P	2	avouer-avouez
8432	aérer	pi2P	2	aérer-aérez
8625	baigner	pi2P	2	baigner-baignez
8663	baiser	ii3P	2	baisaient-baisé
8664	baiser	ii3S	3	baisait-baiser-baisé
8667	baiser	pI2P	2	baiser-baisez
8676	baiser	pi2P	2	baiser-baisez
8692	baisser	fi2P	2	baisser-baisserez
8700	baisser	ii3P	2	baissaient-baissé
8701	baisser	ii3S	2	baissait-baissée
8704	baisser	pI2P	2	baisser-baissez
8714	baisser	pi2P	2	baisser-baissez
8785	balancer	ii3S	2	balancé-balançait
8789	balancer	pI2P	2	balancer-balancez
8798	balancer	pi2P	2	balancer-balancez
8812	balayer	fi1P	2	balaierons-balayerons
8813	balayer	fi1S	2	balaierai-balayerai
8814	balayer	fi2P	2	balaierez-balayerez
8816	balayer	fi3P	2	balaieront-balayeront
8817	balayer	fi3S	2	balaiera-balayera
8827	balayer	pI2S	2	balaie-balaye
8829	balayer	pc1S	2	balaierais-balayerais
8831	balayer	pc3S	2	balaierait-balayerait
8833	balayer	pi1S	2	balaie-balaye
8835	balayer	pi2S	2	balaies-balayes
8836	balayer	pi3P	2	balaient-balayent
8837	balayer	pi3S	2	balaie-balaye
8982	bander	pi2P	2	bander-bandez
9061	baptiser	pi2P	2	baptiser-baptisez
9217	barrer	pi2P	3	barrer-barres-barrez
9242	barricader	pi2P	2	barricader-barricadez
9245	barricader	pi3S	2	barricade-barricadé
9303	baser	ii3S	2	basait-basée
9313	baser	pi2P	2	baser-basez
9502	baver	pi2P	2	baver-bavez
9518	bayer	pI2S	2	baie-baye
9521	bayer	pi3S	2	baie-baye
9581	bercer	ii3S	2	bercé-berçait
9590	bercer	pi2P	2	bercer-bercez
9841	biper	ii3P	2	bipaient-bipés
9842	biper	ii3S	2	bipait-bipé
10077	blesser	ii3P	2	blessaient-blessé
10078	blesser	ii3S	3	blessait-blessé-blessée
10156	bloquer	ii3P	4	bloquaient-bloqué-bloquée-bloqués
10160	bloquer	pI2P	2	bloquer-bloquez
10333	boire	pi3S	2	boit-bue
10339	boire	ps3S	2	boive-bue
10518	border	ii3P	2	bordaient-bordée
10583	bosser	ii3S	2	bossait-bossé
10620	botter	ii3P	2	bottaient-bottés
10621	botter	ii3S	2	bottait-botté
10703	boucler	pI2P	2	boucler-bouclez
10779	bouffer	pi2P	2	bouffer-bouffez
10782	bouffer	pi3S	2	bouffe-bouffé
10811	bouger	pI2P	3	bouger-bougez-bougiez
10821	bouger	pi2P	3	bouger-bougez-bougiez
10855	bouillir	pi1S	2	bouille-bous
10858	bouillir	pi3S	2	bouille-bout
10913	bouleverser	pi2P	2	bouleverser-bouleversez
11127	boutonner	ii3P	2	boutonnaient-boutonné
11286	brancher	ii3P	3	branchaient-branché-branchés
11297	brancher	pi2P	2	brancher-branchez
11347	branler	ii3P	2	branlaient-branlé
11348	branler	ii3S	2	branlait-branlé
11358	branler	pi2P	2	branler-branlez
11464	brayer	pi2S	2	braies-brayes
11700	briser	ii3P	2	brisaient-brisé
11701	briser	ii3S	2	brisait-brisé
11704	briser	pI2P	2	briser-brisez
11714	briser	pi2P	2	briser-brisez
11787	bronzer	ii3S	2	bronzait-bronzé
11819	brosser	pi2P	2	brosser-brossez
11997	brûler	ii3P	2	brûlaient-brûlé
11998	brûler	ii3S	2	brûlait-brûlé
12079	buter	pi2P	2	buter-butez
12138	bâcler	ii3S	2	bâclait-bâclé
12306	bégayer	pI2S	2	bégaie-bégaye
12307	bégayer	pi1S	2	bégaie-bégaye
12309	bégayer	pi2S	2	bégaies-bégayes
12310	bégayer	pi3P	2	bégaient-bégayent
12311	bégayer	pi3S	2	bégaie-bégaye
12372	bénéficier	pi2P	2	bénéficier-bénéficiez
12515	cacher	ii3P	2	cachaient-caché
12516	cacher	ii3S	2	cachait-cachés
12584	cadrer	pI2S	2	cadre-cadré
12694	cajoler	pi2P	2	cajoler-cajolez
12745	calculer	pI2P	2	calculer-calculez
12751	calculer	pi2P	2	calculer-calculez
12939	cambrioler	ii3P	2	cambriolaient-cambriolé
13020	camper	ii3S	2	campait-camper
13071	canarder	ii3S	2	canardait-canarder
13260	capter	ii3P	2	captaient-capté
13261	capter	ii3S	2	captait-capté
13319	capturer	ii3P	3	capturaient-capturé-capturés
13324	capturer	pI2S	2	capture-capturé
13471	caresser	ii3S	2	caressait-caressé
13569	carter	pI2P	2	carter-cartez
13686	casser	ii3S	2	cassait-casser
13700	casser	pi2P	2	casser-cassez
13760	cataloguer	pi2P	2	cataloguer-cataloguez
13858	causer	ii3P	2	causaient-causé
13859	causer	ii3S	2	causait-causé
13872	causer	pi2P	2	causer-causez
13887	cautionner	ii3P	2	cautionnaient-cautionnés
13888	cautionner	ii3S	2	cautionnait-cautionné
14012	censurer	ii3P	2	censuraient-censuré
14016	censurer	pI2S	2	censure-censuré
14020	censurer	pi2P	2	censurer-censurez
14023	censurer	pi3S	2	censure-censuré
14153	cesser	ii3P	2	cessaient-cessé
14154	cesser	ii3S	2	cessait-cessé
14167	cesser	pi2P	2	cesser-cessez
14257	chambarder	pi2P	2	chambarder-chambardez
14277	chambouler	pi2P	2	chambouler-chamboulez
14339	changer	ii3P	4	changeaient-changé-changée-changés
14340	changer	ii3S	2	changeait-changé
14356	changer	pi3S	2	change-tue
14383	chanter	ii3S	3	chantait-chanter-chanté
14396	chanter	pi2P	2	chanter-chantez
14526	charger	ii3P	2	chargeaient-chargé
14531	charger	pI2P	2	charger-chargez
14540	charger	pi2P	2	charger-chargez
14621	chasser	ii3P	2	chassaient-chassé
14622	chasser	ii3S	2	chassait-émuler
14625	chasser	pI2P	2	chasser-chassez
14635	chasser	pi2P	2	chasser-chassez
14670	chatouiller	pi2P	2	chatouiller-chatouillez
14721	chauffer	pi2P	2	chauffer-chauffez
14806	chemiser	pi1S	2	chemise-chemisé
14827	chercher	ii3P	2	cherchaient-cherché
14828	chercher	ii3S	2	cherchait-cherché
14977	chier	ii3P	2	chiaient-chié
15017	chiffrer	ii3P	2	chiffraient-chiffrés
15360	choyer	pi2P	2	choyer-choyez
15430	chuchoter	pi2P	2	chuchoter-chuchotez
15451	chuter	ii3P	2	chutaient-chuté
15461	chuter	pi2P	2	chuter-chutez
15789	citer	ii3S	2	citait-cité
15971	clarifier	pi2P	2	clarifier-clarifiez
16169	cloner	ii3P	2	clonaient-cloné
16238	clouer	ii3S	2	clouait-cloué
16241	clouer	pI2P	2	clouer-clouez
16249	clouer	pi2P	2	clouer-clouez
16526	cogner	ii3S	2	cognait-cogné
16538	cogner	pi2P	2	cogner-cognez
16612	coincer	ii3P	3	coincée-coincés-coinçaient
16613	coincer	ii3S	2	coincé-coinçait
16625	coincer	pi2P	2	coincer-coincez
16647	collaborer	ii3P	2	collaboraient-collaborée
16689	collecter	ii3S	2	collectait-collectées
16752	coller	ii3P	2	collaient-collée
16753	coller	ii3S	2	collait-collé
16768	coller	pi3S	2	colle-collé
16835	colorer	pI2P	2	colorer-colorez
16878	colporter	ii3S	2	colportait-colporté
16941	combattre	pi2P	2	combattez-combattre
17006	combler	pi2P	2	combler-comblez
17028	commander	ii3P	3	commandaient-commandé-commandés
17029	commander	ii3S	2	commandait-commandé
17085	commencer	ii3P	3	commencé-commencés-commençaient
17086	commencer	ii3S	2	commencé-commençait
17090	commencer	pI2P	2	commencer-commencez
17100	commencer	pi2P	2	commencer-commencez
17217	commettre	pi2P	2	commettez-commettre
17283	communiquer	ii3S	2	communiquait-communiqué
17390	comparer	ii3P	2	comparaient-comparé
17395	comparer	pI2S	2	compare-comparé
17404	comparer	pi2P	2	comparer-comparez
17502	compiler	ii3S	2	compilait-compilé
17529	complaire	pi2P	2	complaire-complaisez
17581	compliquer	ii3S	2	compliquait-compliqué
17592	compliquer	pi2P	2	compliquer-compliquez
17647	compléter	inf	2	compléter-complété
17658	compléter	pi2P	2	compléter-complétez
17680	comporter	ii3P	2	comportaient-comportés
17681	comporter	ii3S	2	comportait-comportés
17693	comporter	pi2P	2	comporter-comportez
17716	composer	ii3P	2	composaient-composé
17720	composer	pI2P	2	composer-composez
17764	comprendre	ii3S	2	comprenait-comprendre
17768	comprendre	pI2P	2	comprendre-comprenez
17778	comprendre	pi2P	2	comprendre-comprenez
17857	compromettre	pi2P	2	compromettez-compromettre
17899	compter	ii3P	2	comptaient-compté
17905	compter	pI2S	2	compte-compté
17962	concentrer	ii3S	2	concentrait-concentré
18277	condamner	ii3P	2	condamnaient-condamné
18292	condamner	pi2P	2	condamner-condamnez
18543	confirmer	ii3P	2	confirmaient-confirmé
18577	confisquer	ii3P	2	confisquaient-confisqué
18578	confisquer	ii3S	2	confisquait-confisqué
18626	confondre	pi2P	2	confondez-confondre
18654	conformer	pi2P	2	conformer-conformez
18695	confronter	pI2P	2	confronter-confrontez
18705	confronter	pi2P	2	confronter-confrontez
18812	congédier	pi2P	2	congédier-congédiez
18833	conjoindre	pi3S	2	conjoint-conjointe
18887	connaître	ii2P	2	connaissais-connaissiez
18930	connecter	ii3P	2	connectaient-connectés
18941	connecter	pi2P	2	connecter-connectez
19017	consacrer	pi2P	2	consacrer-consacrez
19117	conserver	ii3P	2	conservaient-conservé
19155	considérer	ii3S	2	considérait-considérés
19158	considérer	pI2P	2	considérer-considérez
19168	considérer	pi2P	2	considérer-considérez
19240	consoler	pi2P	2	consoler-consolez
19314	conspirer	ii3P	2	conspiraient-conspiré
19419	constituer	pi2P	2	constituer-constituez
19443	construire	ii3S	2	construire-construisait
19446	construire	pI2P	2	construire-construisez
19454	construire	pi1P	2	construisons-construit
19456	construire	pi2P	2	construire-construisez
19485	consulter	pI2P	2	consulter-consultez
19494	consulter	pi2P	2	consulter-consultez
19543	contacter	ii3S	2	contactait-contacté
19677	contenter	ii3P	2	contentaient-contenté
19681	contenter	pI2P	2	contenter-contentez
19691	contenter	pi2P	2	contenter-contentez
19782	continuer	ii3P	2	continuaient-continué
19783	continuer	ii3S	3	continuait-continuer-continué
19796	continuer	pi1S	2	continue-continué
19797	continuer	pi2P	2	continuer-continuez
19854	contracter	ii3P	2	contractaient-contracté
19893	contraindre	pi2P	2	contraignez-contraindre
20031	contredire	pi2P	2	contredire-contredisez
20104	contrer	pi3S	2	contre-contre-intuitif
20161	contribuer	pi2P	2	contribuer-contribuez
20188	contrôler	ii3S	2	contrôlait-contrôlé
20192	contrôler	pI2P	2	contrôler-contrôlez
20202	contrôler	pi2P	2	contrôler-contrôlez
20382	convier	pi2P	2	convier-conviez
20526	coopérer	pi2P	2	coopérer-coopérez
20544	coordonner	ii3P	2	coordonnaient-coordonnées
20584	copier	pi3S	2	copie-copié
20731	corriger	pI2P	2	corriger-corrigez
20899	cotiser	ii3S	2	cotisait-cotisés
20932	coucher	ii3P	2	couchaient-couché
20949	coucher	pi3S	2	couche-tue
20992	coudre	pi2P	2	coudre-cousez
21042	couler	ii3P	2	coulaient-coulé
21057	couler	pi2P	2	couler-coulez
21091	couper	ii3P	2	coupaient-coupé
21096	couper	pI2S	2	coupe-coupé
21189	courir	ii3S	2	courait-courir
21233	couronner	pi2P	2	couronner-couronnez
21317	courtiser	pi2P	2	courtiser-courtisez
21385	couvrir	pi1P	2	couvres-couvrons
21434	coûter	ii3P	2	coûtaient-coûté
21435	coûter	ii3S	2	coûtait-coûté
21445	coûter	pi2P	2	coûter-coûtez
21472	cracher	pI2P	2	cracher-crachez
21631	craquer	ii3P	2	craquaient-craqué
21632	craquer	ii3S	3	craquait-craquer-craqué
21729	creuser	ii3P	2	creusaient-creusé
21771	crever	ii3P	2	crevaient-crevé
21806	cribler	pI2P	2	cribler-criblez
21836	crier	ii3S	2	criait-crié
21848	crier	pi2P	2	crier-criez
21989	crocheter	ii3S	2	crochetait-crocheté
22061	croiser	ii3P	2	croisaient-croisés
22335	créer	ii3P	4	créaient-créé-créée-créées
22336	créer	ii3S	4	créait-créé-créée-créés
22350	créer	pi2P	2	créer-créez
22393	crêper	pi2P	2	crêper-crêpez
22457	cuire	ii3S	2	cuire-cuisait
22466	cuire	pi2P	2	cuire-cuisez
22487	cuisiner	ii3S	2	cuisinait-cuisiné
22490	cuisiner	pI2P	2	cuisiner-cuisinez
22556	culer	pi3S	2	culasse-cule
22599	culpabiliser	pi2P	2	culpabiliser-culpabilisez
22668	curer	ii3S	2	curait-curés
22831	célébrer	ii3P	2	célébraient-célébré
22956	damner	pI2S	2	damne-damné
23042	dater	ii3P	2	dataient-datée
23043	dater	ii3S	3	datait-datée-datés
23114	demander	ii3P	3	demandaient-demandé-demandés
23115	demander	ii3S	2	demandait-demandé
23128	demander	pi1S	2	demande-demandé
23222	descendre	pI2P	2	descendez-descendre
23232	descendre	pi2P	2	descendez-descendre
23310	desserrer	pi2P	2	desserrer-desserrez
23372	dessiner	pi1P	2	dessines-dessinons
23622	devoir	ii2P	2	deviez-devions
23625	devoir	ii3S	2	devait-devoir
23626	devoir	inf	3	devoir-devrais-dois
23638	devoir	pc2P	2	devrais-devriez
23679	diagnostiquer	ii3P	2	diagnostiquaient-diagnostiqués
23802	diffuser	ii3P	2	diffusaient-diffusé
24051	dire	fi3P	2	diront-dit
24102	diriger	ii3P	3	dirigeaient-dirigé-dirigés
24206	discréditer	ii3P	2	discréditaient-discrédité
24243	disculper	pi2P	2	disculper-disculpez
24273	discuter	ii3S	2	discutait-discuté
24287	discuter	pi2P	2	discuter-discutez
24360	disparaître	ii3S	2	disparaissait-disparaître
24423	dispenser	pi2P	2	dispenser-dispensez
24442	disperser	ii3P	2	dispersaient-dispersé
24485	disposer	pi1S	2	dispose-disposé
24486	disposer	pi2P	2	disposer-disposez
24514	disputer	ii3P	2	disputaient-disputés
24664	dissoudre	pi2P	2	dissolvez-dissoudre
24695	dissuader	pi2P	2	dissuader-dissuadez
24890	distribuer	ii3P	2	distribuaient-distribué
24918	divaguer	ii3P	2	divaguaient-divagué
25016	diviser	pI2P	2	diviser-divisez
25062	divorcer	pi2P	2	divorcer-divorcez
25257	donner	ii3P	3	donnaient-donné-donnée
25258	donner	ii3S	4	donnait-donné-donnée-donnés
25264	donner	pI2S	2	donne-donné
25271	donner	pi1P	3	donnent-donnes-donnons
25319	dorer	pi2P	2	dorer-dorez
25484	doucher	pi2P	2	doucher-douchez
25495	douer	ii3P	2	doué-douée
25562	draguer	ii3P	3	draguaient-dragué-draguée
25601	drainer	pi2P	2	drainer-drainez
25634	draper	ii3S	2	drapait-drapé
25732	droguer	ii3P	2	droguaient-drogué
25743	droguer	pi2P	2	droguer-droguez
25776	duper	ii3S	2	dupait-dupé
25788	duper	pi2P	2	duper-dupez
26025	débarquer	ii3P	2	débarquaient-débarqué
26039	débarquer	pi2P	2	débarquer-débarquez
26061	débarrasser	ii3P	2	débarrassaient-débarrassé
26119	débattre	pi2P	2	débattez-débattre
26137	débaucher	pI2P	2	débaucher-débauchez
26197	débiter	ii3P	2	débitaient-débité
26229	déblayer	fi1P	2	déblaierons-déblayerons
26231	déblayer	fi3S	2	déblaiera-déblayera
26239	déblayer	pI2S	2	déblaie-déblaye
26241	déblayer	pi1S	2	déblaie-déblaye
26243	déblayer	pi2S	2	déblaies-déblayes
26245	déblayer	pi3S	2	déblaie-déblaye
26478	déboutonner	pI2P	2	déboutonner-déboutonnez
26530	débrancher	pi2P	2	débrancher-débranchez
26542	débrayer	pI2S	2	débraie-débraye
26641	débusquer	pi2P	2	débusquer-débusquez
26661	débuter	ii3P	2	débutaient-débuté
26822	décapiter	ii3S	2	décapitait-décapité
26832	décapiter	pi2P	2	décapiter-décapitez
27004	décharger	ii3S	2	déchargeait-déchargé
27007	décharger	pI2P	2	décharger-déchargez
27066	déchaîner	pi2P	2	déchaîner-déchaînez
27085	déchiffrer	ii3S	3	déchiffrait-déchiffrer-déchiffré
27111	déchiqueter	ii3S	2	déchiquetait-déchiqueter
27141	déchirer	ii3S	2	déchirait-déchiré
27145	déchirer	pI2S	2	déchire-déchiré
27188	décider	ii3P	2	décidaient-décidé
27189	décider	ii3S	2	décidait-décidé
27203	décider	pi2P	2	décider-décidez
27236	décimer	pi2P	2	décimer-décimez
27276	déclarer	ii3P	4	déclaraient-déclaré-déclarée-déclarés
27277	déclarer	ii3S	2	déclarait-déclaré
27289	déclarer	pi2P	2	déclarer-déclarez
27331	déclencher	ii3P	2	déclenchaient-déclenché
27332	déclencher	ii3S	2	déclenchait-déclenché
27419	décoder	pI2P	2	décoder-décodez
27483	décoller	ii3S	2	décollait-décollé
27601	décompresser	pI2P	2	décompresser-décompressez
27657	déconcerter	ii3S	2	déconcertait-déconcerté
27707	déconnecter	ii3P	2	déconnectaient-déconnectée
27711	déconnecter	pI2P	2	déconnecter-déconnectez
27850	décorer	ii3S	2	décorait-décoré
27950	découper	ii3S	2	découpait-découpé
28098	décrire	pI2P	2	décrire-décrivez
28108	décrire	pi2P	2	décrire-décrivez
28142	décrocher	ii3S	2	décrochait-décroché
28146	décrocher	pI2P	2	décrocher-décrochez
28155	décrocher	pi2P	2	décrocher-décrochez
28408	dédier	pi2P	2	dédier-dédiez
28627	défendre	pI2P	2	défendez-défendre
28637	défendre	pi2P	2	défendez-défendre
28712	défier	pi2P	2	défier-défiez
28755	défiler	ii3P	2	défilaient-défilé
28756	défiler	ii3S	2	défilait-défilé
28769	défiler	pi2P	2	défiler-défilez
28856	défoncer	ii3P	2	défoncé-défonçaient
28857	défoncer	ii3S	2	défoncé-défonçait
28869	défoncer	pi2P	2	défoncer-défoncez
28887	déformer	ii3S	2	déformait-déformé
28924	défouler	pi2P	2	défouler-défoulez
28952	défrayer	pi3S	2	défraie-défraye
29063	dégager	ii3S	2	dégageait-dégagé
29074	dégager	pi1P	2	dégageons-dégages
29252	dégonfler	ii3P	2	dégonflaient-dégonflé
29264	dégonfler	pi2P	2	dégonfler-dégonflez
