	lemme	case	nb	graphie
86577	sous-estimer	ii3S	3	sous-estimait-sous-estimé-sous-estimés
86578	sous-estimer	inf	2	sous-estimer-sousestimer
86588	sous-estimer	pi2P	2	sous-estimer-sous-estimez
86629	sous-payer	pi3S	2	sous-paie-sous-paye
86677	sous-évaluer	ii3S	2	sous-évaluait-sous-évalué
86726	soustraire	pi2P	2	soustraire-soustrayez
86785	soutirer	ii3S	2	soutirait-soutiré
86851	soûler	ii3S	2	soûlait-soûlé
86861	soûler	pi2P	2	soûler-soûlez
86964	spécifier	ii3P	2	spécifiaient-spécifié
86989	spéculer	ii3S	2	spéculait-spéculé
87056	stabiliser	pi2P	2	stabiliser-stabilisez
87221	stocker	ii3P	2	stockaient-stocké
87290	stresser	ii3S	2	stressait-stressé
87431	subir	ii3S	2	subir-subissait
87712	succéder	pi2P	2	succéder-succédez
87769	sucrer	pi2P	2	sucrer-sucrez
87884	suggérer	ii3P	2	suggéraient-suggéré
87931	suicider	pi2P	2	suicider-suicidez
88095	supplier	ii3S	3	suppliait-supplié-suppliés
88107	supplier	pi2P	2	supplier-suppliez
88143	supporter	pI2P	2	supporter-supportez
88153	supporter	pi2P	2	supporter-supportez
88178	supposer	ii3P	2	supposaient-supposée
88179	supposer	ii3S	3	supposait-supposé-supposée
88180	supposer	inf	2	suppose-supposer
88198	supposer	ppMS	2	suppose-supposé
88211	supprimer	ii3P	2	supprimaient-supprimé
88212	supprimer	ii3S	2	supprimait-supprimé
88225	supprimer	pi2P	2	supprimer-supprimez
88280	surcharger	pi2P	2	surcharger-surchargez
88388	surestimer	pi2P	2	surestimer-surestimez
88456	surfer	pI2P	2	surfer-surfez
88569	surmonter	ii3P	2	surmontaient-surmonté
88617	surnommer	ii3S	2	surnommait-surnommé
88675	surpayer	pi3S	2	surpaie-surpaye
88729	surprendre	pi2P	2	surprendre-surprenez
88895	survivre	pi2P	2	survivez-survivre
89006	suspecter	ii3P	2	suspectaient-suspecté
89010	suspecter	pI2P	2	suspecter-suspectez
89145	symboliser	ii3P	2	symbolisaient-symbolisé
89270	sécher	ii3S	2	séchait-séchés
89362	séduire	pi2P	2	séduire-séduisez
89399	séjourner	pi2P	2	séjourner-séjournez
89417	sélectionner	ii3S	2	sélectionnait-sélectionnés
89448	séparer	ii3P	3	séparaient-séparée-séparés
89449	séparer	ii3S	2	séparait-séparé
89545	tabasser	ii3S	2	tabassait-tabasser
89556	tabasser	pi2P	2	tabasser-tabassez
89687	tailler	ii3P	2	taillaient-taillé
89700	tailler	pi2P	2	tailler-taillez
89738	taire	pi2P	2	taire-taisez
89743	taire	ppMS	2	-tu-tu
89856	tanguer	pI2S	2	tangue-tangué
89871	tanner	ii3P	2	tannaient-tanné
89874	tanner	pI2P	2	tanner-tannez
89896	taper	ii3P	2	tapaient-tapé
89897	taper	ii3S	2	tapait-tapé
89900	taper	pI2P	2	taper-tapez
89909	taper	pi2P	2	taper-tapez
90007	taquiner	pI2P	2	taquiner-taquinez
90015	taquiner	pi2P	2	taquiner-taquinez
90173	tatouer	ii3S	3	tatouait-tatouer-tatoués
90425	tenter	ii3P	2	tentaient-tenté
90426	tenter	ii3S	2	tentait-tenté
90440	tenter	pi2P	2	tenter-tentez
90464	tergiverser	pi2P	2	tergiverser-tergiversez
90483	terminer	ii3P	2	terminaient-terminé
90487	terminer	pI2P	2	terminer-terminez
90597	terrifier	pi2P	2	terrifier-terrifiez
