	graphie	lemme	cat	infover	genre	nombre	occurrences	rangFW	rangFWV	case
36639	moisies	moisir	VER		f	p	18.0	85482.0	36903.0	
36690	envoie	envoyer	VER				18.0	85482.0	36903.0	
36822	vomissant	vomir	VER		m	s	18.0	85482.0	36903.0	
36859	amuse	amuser	VER				18.0	85482.0	36903.0	
36952	avérées	avérer	VER		f	p	18.0	85482.0	36903.0	
37010	rimant	rimer	VER		m	s	18.0	85482.0	36903.0	
37107	demandez	demander	VER				18.0	85482.0	36903.0	
37258	honore	honorer	VER				18.0	85482.0	36903.0	
37282	piper	piper	VER				18.0	85482.0	36903.0	
37297	doivent	devoir	VER				18.0	85482.0	36903.0	
37352	allier	allier	VER		m	s	17.0	87264.0	37783.5	
37398	amusez	amuser	VER				17.0	87264.0	37783.5	
37584	coupez	couper	VER				17.0	87264.0	37783.5	
37689	envoyez	envoyer	VER				17.0	87264.0	37783.5	
37874	rappelez	rappeler	VER				17.0	87264.0	37783.5	
38017	poque	poquer	VER		f	s	17.0	87264.0	37783.5	
38077	occupe	occuper	VER				17.0	87264.0	37783.5	
38470	travaillant	travailler	VER		m	s	16.0	89185.0	38725.5	
38652	borde	border	VER		f	s	16.0	89185.0	38725.5	
38856	attire	attirer	VER				16.0	89185.0	38725.5	
38866	brime	brimer	VER				16.0	89185.0	38725.5	
38991	dort	dormir	VER				16.0	89185.0	38725.5	
39029	brille	briller	VER				16.0	89185.0	38725.5	
39078	luise	luire	VER				16.0	89185.0	38725.5	
39105	pue	puer	VER				16.0	89185.0	38725.5	
39386	nia	nier	VER				15.0	91229.5	39741.0	
39468	apporte	apporter	VER				15.0	91229.5	39741.0	
39551	lisant	lire	VER		m	s	15.0	91229.5	39741.0	
39561	cryogéniser	cryogéniser	VER				15.0	91229.5	39741.0	
39627	taillons	tailler	VER		m	p	15.0	91229.5	39741.0	
39855	toues	touer	VER		f	p	15.0	91229.5	39741.0	
39891	emmenez	emmener	VER				15.0	91229.5	39741.0	
39908	vienne	venir	VER				15.0	91229.5	39741.0	
39952	entrez	entrer	VER				15.0	91229.5	39741.0	
40058	refroidissant	refroidir	VER		m	s	15.0	91229.5	39741.0	
40070	kifferais	kiffer	VER				15.0	91229.5	39741.0	
40074	assurez	assurer	VER				15.0	91229.5	39741.0	
40086	vont	aller	VER				15.0	91229.5	39741.0	
40112	assure	assurer	VER				15.0	91229.5	39741.0	
40158	importe	importer	VER				15.0	91229.5	39741.0	
40290	sautant	sauter	VER		m	s	14.0	93440.0	40843.0	
40351	levez	lever	VER				14.0	93440.0	40843.0	
40378	kiffez	kiffer	VER				14.0	93440.0	40843.0	
40414	souhaite	souhaiter	VER				14.0	93440.0	40843.0	
40442	répète	répéter	VER				14.0	93440.0	40843.0	
40453	passez	passer	VER				14.0	93440.0	40843.0	
40486	layer	layer	VER				14.0	93440.0	40843.0	
40534	blastes	blaster	VER		m	p	14.0	93440.0	40843.0	
40551	sis	seoir	VER		m	s	14.0	93440.0	40843.0	
40566	brûle	brûler	VER				14.0	93440.0	40843.0	
40624	tuez	tuer	VER				14.0	93440.0	40843.0	
40697	pardonnez	pardonner	VER				14.0	93440.0	40843.0	
40723	détendez	détendre	VER				14.0	93440.0	40843.0	
40733	péchons	pécher	VER		m	p	14.0	93440.0	40843.0	
40881	gardez	garder	VER				14.0	93440.0	40843.0	
40930	mettons	mettre	VER				14.0	93440.0	40843.0	
40959	ravageant	ravager	VER		m	s	14.0	93440.0	40843.0	
40980	badger	badger	VER				14.0	93440.0	40843.0	
41183	éclate	éclater	VER				14.0	93440.0	40843.0	
41211	présentent	présenter	VER				14.0	93440.0	40843.0	
41225	vient	venir	VER				14.0	93440.0	40843.0	
41226	viennent	venir	VER				14.0	93440.0	40843.0	
41423	apportez	apporter	VER				13.0	95827.0	42055.0	
41754	oriente	orienter	VER				13.0	95827.0	42055.0	
41835	utilise	utiliser	VER				13.0	95827.0	42055.0	
41903	souvenez	souvenir	VER				13.0	95827.0	42055.0	
41968	répondez	répondre	VER				13.0	95827.0	42055.0	
41993	butter	butter	VER				13.0	95827.0	42055.0	
42002	bourdonnais	bourdonner	VER				13.0	95827.0	42055.0	
42012	parles	parler	VER				13.0	95827.0	42055.0	
42106	disent	dire	VER				13.0	95827.0	42055.0	
42162	tapa	taper	VER		m	s	13.0	95827.0	42055.0	
42379	protège	protéger	VER				13.0	95827.0	42055.0	
42380	tapi	tapir	VER		m	s	13.0	95827.0	42055.0	
42464	borde	border	VER		f	s	13.0	95827.0	42055.0	
42492	vallonné	vallonner	VER		m	s	13.0	95827.0	42055.0	
42552	montrez	montrer	VER				13.0	95827.0	42055.0	
42564	prépare	préparer	VER				13.0	95827.0	42055.0	
42672	arrêtes	arrêter	VER				13.0	95827.0	42055.0	
42689	taisez	taire	VER				13.0	95827.0	42055.0	
42769	sauvons	sauver	VER				12.0	98442.0	43369.0	
42788	ressemble	ressembler	VER				12.0	98442.0	43369.0	
42923	jouent	jouer	VER				12.0	98442.0	43369.0	
42983	goûterons	goûter	VER		m	p	12.0	98442.0	43369.0	
42998	permettez	permettre	VER				12.0	98442.0	43369.0	
42999	retrouve	retrouver	VER				12.0	98442.0	43369.0	
43058	parant	parer	VER				12.0	98442.0	43369.0	
43347	travaille	travailler	VER				12.0	98442.0	43369.0	
43370	toue	touer	VER		f	s	12.0	98442.0	43369.0	
43468	vivent	vivre	VER				12.0	98442.0	43369.0	
43553	impulse	impulser	VER				12.0	98442.0	43369.0	
43617	déteste	détester	VER				12.0	98442.0	43369.0	
43870	donnons	donner	VER				12.0	98442.0	43369.0	
43922	réponds	répondre	VER				12.0	98442.0	43369.0	
44042	faisons	faire	VER				12.0	98442.0	43369.0	
44043	emporte	emporter	VER				12.0	98442.0	43369.0	
44131	repointes	repointer	VER		f	p	11.0	101341.5	44818.0	
44255	essayez	essayer	VER				11.0	101341.5	44818.0	
44432	clapper	clapper	VER				11.0	101341.5	44818.0	
44442	vantes	vanter	VER				11.0	101341.5	44818.0	
44451	caillera	cailler	VER		f	s	11.0	101341.5	44818.0	
44611	attrapez	attraper	VER				11.0	101341.5	44818.0	
44616	crie	crier	VER				11.0	101341.5	44818.0	
44724	tournez	tourner	VER				11.0	101341.5	44818.0	
44794	achetez	acheter	VER				11.0	101341.5	44818.0	
44854	palmas	palmer	VER		f	p	11.0	101341.5	44818.0	
44856	obtenez	obtenir	VER				11.0	101341.5	44818.0	
44864	efface	effacer	VER				11.0	101341.5	44818.0	
44995	associes	associer	VER				11.0	101341.5	44818.0	
45008	procrastiner	procrastiner	VER				11.0	101341.5	44818.0	
45030	fore	forer	VER				11.0	101341.5	44818.0	
45121	fermez	fermer	VER				11.0	101341.5	44818.0	
45317	maria	marier	VER				11.0	101341.5	44818.0	
45360	abuse	abuser	VER				11.0	101341.5	44818.0	
45391	raconte	raconter	VER				11.0	101341.5	44818.0	
45392	détends	détendre	VER				11.0	101341.5	44818.0	
45476	pouvez	pouvoir	VER				11.0	101341.5	44818.0	
45505	voudrais	vouloir	VER				11.0	101341.5	44818.0	
45528	arrache	arracher	VER				11.0	101341.5	44818.0	
45547	chantonnant	chantonner	VER		m	s	11.0	101341.5	44818.0	
